[10:40:47] monitor start, deadline 80m
[10:40:49] forts845/openmontage-chatterbox-270-scene-tts-measurement has status "KernelWorkerStatus.RUNNING"
[10:41:50] forts845/openmontage-chatterbox-270-scene-tts-measurement has status "KernelWorkerStatus.RUNNING"
[10:42:51] forts845/openmontage-chatterbox-270-scene-tts-measurement has status "KernelWorkerStatus.RUNNING"
[10:43:53] forts845/openmontage-chatterbox-270-scene-tts-measurement has status "KernelWorkerStatus.RUNNING"
[10:44:54] forts845/openmontage-chatterbox-270-scene-tts-measurement has status "KernelWorkerStatus.RUNNING"
[10:45:55] forts845/openmontage-chatterbox-270-scene-tts-measurement has status "KernelWorkerStatus.RUNNING"
[10:46:57] forts845/openmontage-chatterbox-270-scene-tts-measurement has status "KernelWorkerStatus.RUNNING"
[10:47:59] forts845/openmontage-chatterbox-270-scene-tts-measurement has status "KernelWorkerStatus.RUNNING"
[10:49:00] forts845/openmontage-chatterbox-270-scene-tts-measurement has status "KernelWorkerStatus.RUNNING"
[10:50:02] forts845/openmontage-chatterbox-270-scene-tts-measurement has status "KernelWorkerStatus.RUNNING"
[10:51:03] forts845/openmontage-chatterbox-270-scene-tts-measurement has status "KernelWorkerStatus.RUNNING"
[10:52:04] forts845/openmontage-chatterbox-270-scene-tts-measurement has status "KernelWorkerStatus.RUNNING"
[10:53:06] forts845/openmontage-chatterbox-270-scene-tts-measurement has status "KernelWorkerStatus.RUNNING"
[10:54:08] forts845/openmontage-chatterbox-270-scene-tts-measurement has status "KernelWorkerStatus.RUNNING"
[10:55:09] forts845/openmontage-chatterbox-270-scene-tts-measurement has status "KernelWorkerStatus.RUNNING"
[10:56:11] forts845/openmontage-chatterbox-270-scene-tts-measurement has status "KernelWorkerStatus.RUNNING"
[10:57:12] forts845/openmontage-chatterbox-270-scene-tts-measurement has status "KernelWorkerStatus.RUNNING"
[10:58:14] forts845/openmontage-chatterbox-270-scene-tts-measurement has status "KernelWorkerStatus.RUNNING"
[10:59:15] forts845/openmontage-chatterbox-270-scene-tts-measurement has status "KernelWorkerStatus.RUNNING"
[11:00:16] forts845/openmontage-chatterbox-270-scene-tts-measurement has status "KernelWorkerStatus.RUNNING"
[11:01:17] forts845/openmontage-chatterbox-270-scene-tts-measurement has status "KernelWorkerStatus.RUNNING"
[11:02:18] forts845/openmontage-chatterbox-270-scene-tts-measurement has status "KernelWorkerStatus.RUNNING"
[11:03:20] forts845/openmontage-chatterbox-270-scene-tts-measurement has status "KernelWorkerStatus.RUNNING"
[11:04:21] forts845/openmontage-chatterbox-270-scene-tts-measurement has status "KernelWorkerStatus.RUNNING"
[11:05:22] forts845/openmontage-chatterbox-270-scene-tts-measurement has status "KernelWorkerStatus.COMPLETE"
[11:05:22] terminal state -> pulling output
